934903523    nice-user.condor@karr.ecn.purdue.edu        0      17
934903763    nice-user.condor@karr.ecn.purdue.edu       10      17
934904003    nice-user.condor@karr.ecn.purdue.edu        9      11
934904243    nice-user.condor@karr.ecn.purdue.edu        4       4
934904483    nice-user.condor@karr.ecn.purdue.edu        1       1
934904723    nice-user.condor@karr.ecn.purdue.edu        0       1
934904963    nice-user.condor@karr.ecn.purdue.edu        1       1
934905203    nice-user.condor@karr.ecn.purdue.edu        1       1
934905443    nice-user.condor@karr.ecn.purdue.edu        1       1
934905683    nice-user.condor@karr.ecn.purdue.edu        1       1
934905923    nice-user.condor@karr.ecn.purdue.edu        1       1
