934526312                         qun@cs.wisc.edu       38      46
934526552                         qun@cs.wisc.edu        0       1
934526804                         qun@cs.wisc.edu        0       1
934527052                         qun@cs.wisc.edu       13      20
934527292                         qun@cs.wisc.edu       24      34
934527532                         qun@cs.wisc.edu        0       1
934527792                         qun@cs.wisc.edu        0       1
934528032                         qun@cs.wisc.edu        1      11
934528278                         qun@cs.wisc.edu        6      12
934528559                         qun@cs.wisc.edu       14      24
934528811                         qun@cs.wisc.edu        4       7
934529051                         qun@cs.wisc.edu        0       3
934529291                         qun@cs.wisc.edu       13      18
934529552                         qun@cs.wisc.edu       14      24
934529802                         qun@cs.wisc.edu       14      24
934530042                         qun@cs.wisc.edu       14      24
934530282                         qun@cs.wisc.edu        0       1
934530541                         qun@cs.wisc.edu        0       1
934530781                         qun@cs.wisc.edu        1       9
934531021                         qun@cs.wisc.edu        1      11
934531278                         qun@cs.wisc.edu       10      17
934531529                         qun@cs.wisc.edu       13      23
934531769                         qun@cs.wisc.edu       14      24
934532035                         qun@cs.wisc.edu       15      25
934532308                         qun@cs.wisc.edu       15      25
934532549                         qun@cs.wisc.edu       15      25
934532789                         qun@cs.wisc.edu       15      25
934533035                         qun@cs.wisc.edu       15      25
934533288                         qun@cs.wisc.edu       15      25
934533528                         qun@cs.wisc.edu       15      25
934533768                         qun@cs.wisc.edu       14      24
934534025                         qun@cs.wisc.edu       14      24
934534274                         qun@cs.wisc.edu       15      25
934534514                         qun@cs.wisc.edu       14      24
934534754                         qun@cs.wisc.edu       14      24
934535023                         qun@cs.wisc.edu       14      24
934535263                         qun@cs.wisc.edu       14      24
934535511                         qun@cs.wisc.edu       14      24
934535783                         qun@cs.wisc.edu       13      23
934536044                         qun@cs.wisc.edu       14      24
934536284                         qun@cs.wisc.edu       14      24
934536524                         qun@cs.wisc.edu       12      22
934536787                         qun@cs.wisc.edu       12      22
934537028                         qun@cs.wisc.edu       10      20
934537268                         qun@cs.wisc.edu        9      19
934537510                         qun@cs.wisc.edu       11      21
934537765                         qun@cs.wisc.edu       11      21
934538006                         qun@cs.wisc.edu       12      22
934538247                         qun@cs.wisc.edu       12      22
934538497                         qun@cs.wisc.edu       12      22
934538745                         qun@cs.wisc.edu       11      21
934538986                         qun@cs.wisc.edu       11      21
934539261                         qun@cs.wisc.edu       12      22
934539517                         qun@cs.wisc.edu       12      22
934539791                         qun@cs.wisc.edu       14      24
934540036                         qun@cs.wisc.edu       14      24
934540288                         qun@cs.wisc.edu       14      24
934540530                         qun@cs.wisc.edu        4      10
934540770                         qun@cs.wisc.edu       13      23
934541011                         qun@cs.wisc.edu       13      23
934541254                         qun@cs.wisc.edu       13      23
934541494                         qun@cs.wisc.edu       12      22
934541734                         qun@cs.wisc.edu       11      21
934541974                         qun@cs.wisc.edu       12      22
934542216                         qun@cs.wisc.edu       12      22
934542456                         qun@cs.wisc.edu       13      23
934542703                         qun@cs.wisc.edu       13      23
934542958                         qun@cs.wisc.edu       13      23
934543207                         qun@cs.wisc.edu       13      23
934543447                         qun@cs.wisc.edu       14      24
934543687                         qun@cs.wisc.edu       14      24
934543941                         qun@cs.wisc.edu       14      24
934544181                         qun@cs.wisc.edu       14      24
934544421                         qun@cs.wisc.edu       14      24
934544661                         qun@cs.wisc.edu       14      24
934544915                         qun@cs.wisc.edu       14      24
934545155                         qun@cs.wisc.edu       14      24
934545395                         qun@cs.wisc.edu       14      24
934545639                         qun@cs.wisc.edu       14      24
934545884                         qun@cs.wisc.edu       14      24
934546124                         qun@cs.wisc.edu       14      24
934546379                         qun@cs.wisc.edu       13      23
